Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
4890;ST DOMINIQUE (117 B) MAT;117 bis RUE SAINT DOMINIQUE;7ème Ardt;75107;2022-2023;MAT;;;;;"{""coordinates"": [2.304324505511373, 48.858949371483625], ""type"": ""Point""}";48.858949371483625, 2.304324505511373
4890;PIERRE FONCIN (2) MAT;2 RUE PIERRE FONCIN;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.409217976972017, 48.871340988815405], ""type"": ""Point""}";48.871340988815405, 2.409217976972017
4892;BOULANGERS (19) ELEM;19 RUE DES BOULANGERS;5ème Ardt;75105;2022-2023;ELE;;;;;"{""coordinates"": [2.3529941442705398, 48.84585881555829], ""type"": ""Point""}";48.84585881555829, 2.3529941442705398
COLLEGES (année scolaire 2022/2023);MADAME DE STAEL;14 RUE DE STAEL;15ème Ardt;75115;2022-2023;Collège;;;;;"{""coordinates"": [2.3101706958480466, 48.843618305404966], ""type"": ""Point""}";48.843618305404966, 2.3101706958480466
4890;SAIDA (20) MAT;20 RUE SAIDA;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.293162588036355, 48.83174298046158], ""type"": ""Point""}";48.83174298046158, 2.293162588036355
4890;POPINCOURT (9) MAT;9 RUE POPINCOURT;11ème Ardt;75111;2022-2023;MAT;;;;;"{""coordinates"": [2.3773187394289477, 48.857379056284046], ""type"": ""Point""}";48.857379056284046, 2.3773187394289477
4890;VOLTAIRE (6) MAT;6 CITE VOLTAIRE;11ème Ardt;75111;2022-2023;MAT;;;;;"{""coordinates"": [2.3900839755646204, 48.85257530745052], ""type"": ""Point""}";48.85257530745052, 2.3900839755646204
4890;PARMENTIER (11B) MAT;11 bis AVENUE PARMENTIER;11ème Ardt;75111;2022-2023;MAT;;;;;"{""coordinates"": [2.3788002257014074, 48.859756038515556], ""type"": ""Point""}";48.859756038515556, 2.3788002257014074
4890;ROMAINVILLE (59B) MAT;59 bis RUE DE ROMAINVILLE;19ème Ardt;75119;2022-2023;MAT;;;;;"{""coordinates"": [2.403382148648804, 48.87739019746418], ""type"": ""Point""}";48.87739019746418, 2.403382148648804
4890;MARX DORMOY (53B) MAT;53 bis RUE MARX DORMOY;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.3596962129223327, 48.88837957517475], ""type"": ""Point""}";48.88837957517475, 2.3596962129223327
4890;VANEAU (48) MAT;48 RUE VANEAU;7ème Ardt;75107;2022-2023;MAT;;;;;"{""coordinates"": [2.3191643703035774, 48.85120382889964], ""type"": ""Point""}";48.85120382889964, 2.3191643703035774
4892;FESSART (4) ELEM;4 RUE FESSART;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.3886273989289553, 48.87620483668461], ""type"": ""Point""}";48.87620483668461, 2.3886273989289553
COLLEGES (année scolaire 2022/2023);PAUL GAUGUIN;35 RUE MILTON;9ème Ardt;75109;2022-2023;Collège;;;;;"{""coordinates"": [2.3423452396970905, 48.8792307451151], ""type"": ""Point""}";48.8792307451151, 2.3423452396970905
COLLEGES (année scolaire 2022/2023);CHAPTAL;45 BOULEVARD DES BATIGNOLLES;8ème Ardt;75108;2022-2023;Collège;;;;;"{""coordinates"": [2.319687602583127, 48.88173758353143], ""type"": ""Point""}";48.88173758353143, 2.319687602583127
4890;TELEGRAPHE (29) MAT;29 RUE DU TELEGRAPHE;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.399105785179328, 48.873410665618245], ""type"": ""Point""}";48.873410665618245, 2.399105785179328
4890;JENNER (46) MAT;46 RUE JENNER;13ème Ardt;75113;2022-2023;MAT;;;;;"{""coordinates"": [2.36087574556163, 48.83603938481635], ""type"": ""Point""}";48.83603938481635, 2.36087574556163
4892;SURENE (18) ELEM;18 RUE DE SURENE;8ème Ardt;75108;2022-2023;ELE;;;;;"{""coordinates"": [2.3205725293511055, 48.87105988952709], ""type"": ""Point""}";48.87105988952709, 2.3205725293511055
4892;TOURELLES (5/7) POLY;5 RUE DES TOURELLES;20ème Ardt;75120;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.404086116145681, 48.87473729137813], ""type"": ""Point""}";48.87473729137813, 2.404086116145681
4892;PLAINE (9) ELEM B;9 RUE DE LA PLAINE;20ème Ardt;75120;2022-2023;ELE;;;;;"{""coordinates"": [2.399914835474164, 48.849964001623064], ""type"": ""Point""}";48.849964001623064, 2.399914835474164
4892;HIPPOLYTE MAINDRON (48) ELEM;48 RUE HIPPOLYTE MAINDRON;14ème Ardt;75114;2022-2023;ELE;;;;;"{""coordinates"": [2.320559194450543, 48.83040457696267], ""type"": ""Point""}";48.83040457696267, 2.320559194450543
4892;BUFFAULT (32) ELEM;32 RUE BUFFAULT;9ème Ardt;75109;2022-2023;ELE;;;;;"{""coordinates"": [2.3424365708553445, 48.87631292671901], ""type"": ""Point""}";48.87631292671901, 2.3424365708553445
COLLEGES (année scolaire 2022/2023);JULES ROMAINS;6 RUE CLER;7ème Ardt;75107;2022-2023;Collège;;;;;"{""coordinates"": [2.3054337931400832, 48.85846458255922], ""type"": ""Point""}";48.85846458255922, 2.3054337931400832
4890;FEDERATION (18) MAT;18 RUE DE LA FEDERATION;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.2910889400423504, 48.854537240506836], ""type"": ""Point""}";48.854537240506836, 2.2910889400423504
4890;OLIVIER DE SERRES (34) MAT;34 RUE OLIVIER DE SERRES;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.2965269926051577, 48.835507907168534], ""type"": ""Point""}";48.835507907168534, 2.2965269926051577
4890;CEPRE (13) MAT;13 RUE CEPRE;15ème Ardt;75115;2022-2023;MAT;;;;;"{""coordinates"": [2.303604368736968, 48.846624363452094], ""type"": ""Point""}";48.846624363452094, 2.303604368736968
4890;BRUXELLES (34) MAT;34 RUE DE BRUXELLES;9ème Ardt;75109;2022-2023;MAT;;;;;"{""coordinates"": [2.3286838662964278, 48.882973714173346], ""type"": ""Point""}";48.882973714173346, 2.3286838662964278
COLLEGES (année scolaire 2022/2023);GEORGE SAND;159 RUE DE TOLBIAC;13ème Ardt;75113;2022-2023;Collège;;;;;"{""coordinates"": [2.3558852290755237, 48.82601379702334], ""type"": ""Point""}";48.82601379702334, 2.3558852290755237
COLLEGES (année scolaire 2022/2023);LUCIE ET RAYMOND AUBRAC;62 RUE DE LA FONTAINE AU ROI;11ème Ardt;75111;2022-2023;Collège;;;;;"{""coordinates"": [2.374321375328781, 48.86823413928675], ""type"": ""Point""}";48.86823413928675, 2.374321375328781
4892;AMIRAL ROUSSIN (35) ELEM;35 RUE DE L AMIRAL ROUSSIN;15ème Ardt;75115;2022-2023;ELE;;;;;"{""coordinates"": [2.299626336508781, 48.84423314603248], ""type"": ""Point""}";48.84423314603248, 2.299626336508781
4892;FRANCOIS COPPEE (14) ELEM;14 RUE FRANCOIS COPPEE;15ème Ardt;75115;2022-2023;ELE;;;;;"{""coordinates"": [2.287841502930166, 48.83987528329247], ""type"": ""Point""}";48.83987528329247, 2.287841502930166
4892;GENERAL CAMOU (1) ELEM;1 RUE GENERAL CAMOU;7ème Ardt;75107;2022-2023;ELE;;;;;"{""coordinates"": [2.2998593922718706, 48.85889064623058], ""type"": ""Point""}";48.85889064623058, 2.2998593922718706
COLLEGES (année scolaire 2022/2023);ANTOINE COYSEVOX;16 RUE COYSEVOX;18ème Ardt;75118;2022-2023;Collège;;;;;"{""coordinates"": [2.3298201952433653, 48.89161762679698], ""type"": ""Point""}";48.89161762679698, 2.3298201952433653
COLLEGES (année scolaire 2022/2023);FRANCOISE SELIGMAN;21 RUE DE SAMBRE ET MEUSE;10ème Ardt;75110;2022-2023;Collège;;;;;"{""coordinates"": [2.371691242263032, 48.87485079446566], ""type"": ""Point""}";48.87485079446566, 2.371691242263032
COLLEGES (année scolaire 2022/2023);GEORGES BRASSENS;4 RUE ERIK SATIE;19ème Ardt;75119;2022-2023;Collège;;;;;"{""coordinates"": [2.3863943215388685, 48.88433022802427], ""type"": ""Point""}";48.88433022802427, 2.3863943215388685
COLLEGES (année scolaire 2022/2023);GERMAINE TILLION;8 AVENUE VINCENT D'INDY;12ème Ardt;75112;2022-2023;Collège;;;;;"{""coordinates"": [2.4117076060119294, 48.84313628382938], ""type"": ""Point""}";48.84313628382938, 2.4117076060119294
4890;VAUVENARGUES (52) MAT;52 RUE VAUVENARGUES;18ème Ardt;75118;2022-2023;MAT;;;;;"{""coordinates"": [2.331537079400387, 48.895418518323694], ""type"": ""Point""}";48.895418518323694, 2.331537079400387
4892;ROMAINVILLE (59) ELEM B;59 RUE DE ROMAINVILLE;19ème Ardt;75119;2022-2023;ELE;;;;;"{""coordinates"": [2.4032320643144987, 48.87737810883743], ""type"": ""Point""}";48.87737810883743, 2.4032320643144987
4892;WURTZ (16) ELEM;16 RUE WURTZ;13ème Ardt;75113;2022-2023;ELE;;;;;"{""coordinates"": [2.344618527667761, 48.82693192147904], ""type"": ""Point""}";48.82693192147904, 2.344618527667761
4892;MARGUERITE LONG (5) POLY;5 RUE MARGUERITE LONG;17ème Ardt;75117;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.304519099872852, 48.89101309347151], ""type"": ""Point""}";48.89101309347151, 2.304519099872852
4890;EUGENE REISZ (2) MAT;2 RUE EUGENE REISZ;20ème Ardt;75120;2022-2023;MAT;;;;;"{""coordinates"": [2.410503469825659, 48.85627811228629], ""type"": ""Point""}";48.85627811228629, 2.410503469825659
