Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
ELEMENTAIRES (année scolaire 2022/2023);RICHOMME (9) ELEM;9 RUE RICHOMME;18ème Ardt;75118;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3521819392766203, 48.886416749925715], ""type"": ""Point""}";48.886416749925715, 2.3521819392766203
ELEMENTAIRES (année scolaire 2022/2023);ROMAINVILLE (57) ELEM A;57 RUE DE ROMAINVILLE;19ème Ardt;75119;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.4030100064609767, 48.877417068605105], ""type"": ""Point""}";48.877417068605105, 2.4030100064609767
ELEMENTAIRES (année scolaire 2022/2023);KUSS (8) POLY;8 RUE KUSS;13ème Ardt;75113;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.351305571901135, 48.8222309853145], ""type"": ""Point""}";48.8222309853145, 2.351305571901135
ELEMENTAIRES (année scolaire 2022/2023);SURENE (18) ELEM;18 RUE DE SURENE;8ème Ardt;75108;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3205725293511055, 48.87105988952709], ""type"": ""Point""}";48.87105988952709, 2.3205725293511055
ELEMENTAIRES (année scolaire 2022/2023);TLEMCEN (9) ELEM;9 RUE DE TLEMCEN;20ème Ardt;75120;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3870939730686542, 48.8645887365069], ""type"": ""Point""}";48.8645887365069, 2.3870939730686542
ELEMENTAIRES (année scolaire 2022/2023);ST LAMBERT (12) ELEM B;12 RUE SAINT LAMBERT;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.2909530840946912, 48.838088826246874], ""type"": ""Point""}";48.838088826246874, 2.2909530840946912
ELEMENTAIRES (année scolaire 2022/2023);MADAME (42) ELEM;42 RUE MADAME;6ème Ardt;75106;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3316036092806876, 48.84894226433001], ""type"": ""Point""}";48.84894226433001, 2.3316036092806876
ELEMENTAIRES (année scolaire 2022/2023);JEAN JAURES (160) ELEM;160 AVENUE JEAN JAURES;19ème Ardt;75119;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3880225161215285, 48.88728920069014], ""type"": ""Point""}";48.88728920069014, 2.3880225161215285
ELEMENTAIRES (année scolaire 2022/2023);JEANNE D ARC (33) ELEM A;33 PLACE JEANNE D'ARC;13ème Ardt;75113;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3674346036287446, 48.829783700856794], ""type"": ""Point""}";48.829783700856794, 2.3674346036287446
ELEMENTAIRES (année scolaire 2022/2023);DUNOIS (64) ELEM;64 RUE DUNOIS;13ème Ardt;75113;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.366908902090558, 48.8327478426862], ""type"": ""Point""}";48.8327478426862, 2.366908902090558
ELEMENTAIRES (année scolaire 2022/2023);FALGUIERE (20) ELEM;20 RUE FALGUIERE;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3166256618717864, 48.84323079035598], ""type"": ""Point""}";48.84323079035598, 2.3166256618717864
ELEMENTAIRES (année scolaire 2022/2023);LACORDAIRE (7) ELEM;7 RUE LACORDAIRE;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.2842520263403903, 48.84385786191493], ""type"": ""Point""}";48.84385786191493, 2.2842520263403903
ELEMENTAIRES (année scolaire 2022/2023);PARMENTIER (109) ELEM;109 AVENUE PARMENTIER;11ème Ardt;75111;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3726220771708006, 48.867615107544516], ""type"": ""Point""}";48.867615107544516, 2.3726220771708006
ELEMENTAIRES (année scolaire 2022/2023);DAUMESNIL (253 T) ELEM;253 ter AVENUE DAUMESNIL;12ème Ardt;75112;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.4031182944378773, 48.83704465692328], ""type"": ""Point""}";48.83704465692328, 2.4031182944378773
ELEMENTAIRES (année scolaire 2022/2023);LEVERT (1) ELEM;1 RUE LEVERT;20ème Ardt;75120;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.389634851915271, 48.87307278089847], ""type"": ""Point""}";48.87307278089847, 2.389634851915271
ELEMENTAIRES (année scolaire 2022/2023);BELLEVILLE (77) ELEM A;77 BLD DE BELLEVILLE;11ème Ardt;75111;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3774345605795686, 48.87127461968392], ""type"": ""Point""}";48.87127461968392, 2.3774345605795686
ELEMENTAIRES (année scolaire 2022/2023);ROUELLE (25) ELEM;25 RUE ROUELLE;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.2873973804104635, 48.85042161897221], ""type"": ""Point""}";48.85042161897221, 2.2873973804104635
ELEMENTAIRES (année scolaire 2022/2023);TOUR D'AUVERGNE (45) ELEM;45 RUE DE LA TOUR D'AUVERGNE;9ème Ardt;75109;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.340911945925924, 48.879722479512736], ""type"": ""Point""}";48.879722479512736, 2.340911945925924
ELEMENTAIRES (année scolaire 2022/2023);ST CHARLES (197) ELEM;197 RUE SAINT CHARLES;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.2801710195474265, 48.84028793767265], ""type"": ""Point""}";48.84028793767265, 2.2801710195474265
ELEMENTAIRES (année scolaire 2022/2023);REPUBLIQUE (98) ELEM;98 AVENUE DE LA REPUBLIQUE;11ème Ardt;75111;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.382373624144395, 48.86363057742458], ""type"": ""Point""}";48.86363057742458, 2.382373624144395
ELEMENTAIRES (année scolaire 2022/2023);BLOMET (19) ELEM;19 RUE BLOMET;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3071755219437526, 48.843154953332736], ""type"": ""Point""}";48.843154953332736, 2.3071755219437526
ELEMENTAIRES (année scolaire 2022/2023);GAMBETTA (103) ELEM;103 AVENUE GAMBETTA;20ème Ardt;75120;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3999711395936014, 48.86682852043191], ""type"": ""Point""}";48.86682852043191, 2.3999711395936014
ELEMENTAIRES (année scolaire 2022/2023);ST LAMBERT (10) ELEM A;10 RUE SAINT LAMBERT;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.2909042375396065, 48.838126665571444], ""type"": ""Point""}";48.838126665571444, 2.2909042375396065
ELEMENTAIRES (année scolaire 2022/2023);ST MAUR (22) ELEM A;22 RUE SAINT MAUR;11ème Ardt;75111;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.382040686270864, 48.86030901280041], ""type"": ""Point""}";48.86030901280041, 2.382040686270864
ELEMENTAIRES (année scolaire 2022/2023);GOUTTE D'OR (57) POLY;57 RUE DE LA GOUTTE D'OR;18ème Ardt;75118;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.351019164902994, 48.88506323432988], ""type"": ""Point""}";48.88506323432988, 2.351019164902994
ELEMENTAIRES (année scolaire 2022/2023);PAJOL (11) POLY;11 RUE PAJOL;18ème Ardt;75118;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3606096722049075, 48.88557045298243], ""type"": ""Point""}";48.88557045298243, 2.3606096722049075
ELEMENTAIRES (année scolaire 2022/2023);PORTE BRANCION (5) ELEM;5 AVENUE DE LA PORTE BRANCION;15ème Ardt;75115;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3020938881021684, 48.82745045804661], ""type"": ""Point""}";48.82745045804661, 2.3020938881021684
ELEMENTAIRES (année scolaire 2022/2023);PRIMO LEVI (21) POLY;21 RUE PRIMO LEVI;13ème Ardt;75113;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.378744900613383, 48.830541965283786], ""type"": ""Point""}";48.830541965283786, 2.378744900613383
ELEMENTAIRES (année scolaire 2022/2023);FOURCROY (12B) ELEM;12 bis RUE FOURCROY;17ème Ardt;75117;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.2973220022149365, 48.88074263795132], ""type"": ""Point""}";48.88074263795132, 2.2973220022149365
ELEMENTAIRES (année scolaire 2022/2023);MOURAUD (5) ELEM;5 RUE MOURAUD;20ème Ardt;75120;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.407718615101166, 48.85477058113677], ""type"": ""Point""}";48.85477058113677, 2.407718615101166
ELEMENTAIRES (année scolaire 2022/2023);LOUIS DE FUNES (2) POLY;2 ALLEE LOUIS DE FUNES;8ème Ardt;75108;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.3058764604394946, 48.87590706075656], ""type"": ""Point""}";48.87590706075656, 2.3058764604394946
ELEMENTAIRES (année scolaire 2022/2023);AMPERE (18) ELEM;18 RUE AMPERE;17ème Ardt;75117;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3049460969373756, 48.88531855079069], ""type"": ""Point""}";48.88531855079069, 2.3049460969373756
ELEMENTAIRES (année scolaire 2022/2023);BELZUNCE (3) POLY;3 RUE DE BELZUNCE;10ème Ardt;75110;2022-2023;Polyvalent;;;;;"{""coordinates"": [2.352834090670799, 48.87919121558662], ""type"": ""Point""}";48.87919121558662, 2.352834090670799
ELEMENTAIRES (année scolaire 2022/2023);BAUDRICOURT (53) ELEM A;53 RUE BAUDRICOURT;13ème Ardt;75113;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3632610167782233, 48.825936484563044], ""type"": ""Point""}";48.825936484563044, 2.3632610167782233
ELEMENTAIRES (année scolaire 2022/2023);ARMAND CARREL (43) ELEM;43 RUE ARMAND CARREL;19ème Ardt;75119;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3766751079846076, 48.88265802269051], ""type"": ""Point""}";48.88265802269051, 2.3766751079846076
ELEMENTAIRES (année scolaire 2022/2023);JACQUES KELLNER (5) ELEM;5 RUE JACQUES KELLNER;17ème Ardt;75117;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.324738339747166, 48.89663856496533], ""type"": ""Point""}";48.89663856496533, 2.324738339747166
ELEMENTAIRES (année scolaire 2022/2023);BUFFAULT (32) ELEM;32 RUE BUFFAULT;9ème Ardt;75109;2022-2023;Elémentaire;;;;;"{""coordinates"": [2.3424365708553445, 48.87631292671901], ""type"": ""Point""}";48.87631292671901, 2.3424365708553445
