N_SQ_CA;NUMEVP;TEXTE;ST_AREA(SHAPE);ST_PERIMETER(SHAPE);GEO_SHAPE;GEO_POINT_2D
13;61;13-61;92.91588028349078;46.61456146581574;"{""coordinates"": [[[2.345492456781792, 48.83149348964657], [2.3454960868734713, 48.83149926998976], [2.345476437204234, 48.83150330046855], [2.3454331579879812, 48.831636938731286], [2.345459055169106, 48.831643320303186], [2.3455812683559087, 48.831514049610114], [2.345570194985719, 48.83147667497359], [2.345492456781792, 48.83149348964657]]], ""type"": ""Polygon""}";48.83154996834402, 2.3455039233272035
18;112;18-112;1902.5697843975042;332.77614689606895;"{""coordinates"": [[[[2.3361507305011417, 48.88784362284251], [2.3362075154709383, 48.88782631354224], [2.336201058682041, 48.88781717565604], [2.336302699493727, 48.88778621677111], [2.336309474622651, 48.88779573773132], [2.3363821977033816, 48.88777296514332], [2.3364140287712583, 48.88781824731521], [2.3364341755407234, 48.887812355059], [2.336478570463471, 48.887878221390764], [2.336543380312182, 48.8878600058129], [2.337176637339093, 48.88767228004867], [2.3372286273886265, 48.887656963610205], [2.3372024690913906, 48.88761852275976], [2.3371901286057795, 48.88760780551377], [2.3371755735273143, 48.88758711505731], [2.337129072954268, 48.88759908309093], [2.3371319031308246, 48.88760344340943], [2.3369798052848547, 48.88764366547486], [2.3368812857231647, 48.88767010241651], [2.336799043466847, 48.88769217146999], [2.3366799467104435, 48.88772412945525], [2.3365668667787225, 48.887754473092244], [2.336520431910773, 48.88776693408471], [2.3365110149735933, 48.88771814915645], [2.33651014237228, 48.88766258657655], [2.3365084383818187, 48.8876340630608], [2.336442991971786, 48.887559492384995], [2.3364341852040487, 48.88752105128971], [2.3363947160783294, 48.88752466458355], [2.3363801532540323, 48.88745185435701], [2.3363494760551866, 48.887454624230685], [2.3362777056546364, 48.887461106268994], [2.336270752953768, 48.887428074098416], [2.336343292874733, 48.88742155945712], [2.3363372169095653, 48.88739035508585], [2.3361385452929753, 48.88740741745813], [2.336109567667357, 48.887409946680336], [2.3360550216808535, 48.887414583338], [2.335896148474717, 48.88743908668874], [2.3359800168506153, 48.88757588988137], [2.3360013225991905, 48.88760947290868], [2.3360183676261785, 48.88763602924128], [2.3360541629601137, 48.887692093951955], [2.336060129329709, 48.88770150791949], [2.3360822886255543, 48.887736074129066], [2.3361010391456833, 48.887766424272286], [2.3361428001966034, 48.88783218439856], [2.3361507305011417, 48.88784362284251]], [[2.336335155625801, 48.88761232376917], [2.336347494446196, 48.88761823598867], [2.3363576995562134, 48.88762571020365], [2.3363653250660223, 48.88763442108478], [2.3363700390013324, 48.88764398637714], [2.33637163256278, 48.88765398943448], [2.3363700376812573, 48.8876639928066], [2.3363653254033014, 48.88767355801543], [2.3363576987745156, 48.88768226889806], [2.3363474926913015, 48.88768974329739], [2.3363351545234075, 48.88769565543799], [2.3363212208056368, 48.88769974568953], [2.3363063020198505, 48.88770183756989], [2.3362910498672425, 48.887701837563746], [2.336276131220924, 48.887699745770306], [2.336262196772999, 48.88769565483004], [2.336252414349004, 48.887690968167355], [2.336239652836855, 48.88768226837845], [2.3362320273296, 48.88767355838893], [2.3362273134284273, 48.887663992192174], [2.336225719894499, 48.887653989132964], [2.3362273147918744, 48.88764398666197], [2.3362320271039705, 48.88763442055905], [2.3362396537353076, 48.887625710583315], [2.33624985982145, 48.88761823619274], [2.336262197980684, 48.88761232406048], [2.3362761316911613, 48.88760823291623], [2.336291050439879, 48.887606141938754], [2.3363063025644566, 48.88760614194488], [2.3363212211966315, 48.887608232835476], [2.336335155625801, 48.88761232376917]]]], ""type"": ""MultiPolygon""}";48.88764060140132, 2.3363969146296197
9;8;09-août;1114.2874502589375;162.36880988103434;"{""coordinates"": [[[2.330816971570769, 48.87948579019919], [2.330854481463198, 48.87937008012587], [2.330880055167831, 48.879292659044125], [2.3308953991519, 48.879245097149244], [2.330841715822416, 48.879235539343725], [2.3307147478005965, 48.87921319158762], [2.3306808454097445, 48.87931321492274], [2.3301940806904087, 48.87923072868662], [2.3301241829726798, 48.87938915202312], [2.33055962328243, 48.87946737018096], [2.330650801342675, 48.87948360306943], [2.330809299262698, 48.87950932516753], [2.330816971570769, 48.87948579019919]]], ""type"": ""Polygon""}";48.879356810045955, 2.3305394554036334
10;15;oct-15;616.7716909524815;91.98019282061642;"{""coordinates"": [[[2.3689433128015907, 48.87823300148893], [2.368914339093065, 48.87823160497813], [2.368874299253582, 48.87824686150869], [2.368851306995406, 48.878271809172674], [2.368824060174177, 48.87830511797313], [2.3688096065427997, 48.87835500415505], [2.368806220476348, 48.87838992175035], [2.368805377810873, 48.878404886687115], [2.368812222896284, 48.87844963755914], [2.3688386545391436, 48.87847414970817], [2.368895769136545, 48.87850743470933], [2.3689503214801526, 48.878530954720894], [2.3690108273952726, 48.8785378927311], [2.369069621568518, 48.878530920717964], [2.3691164621725322, 48.878490721023965], [2.36913858346944, 48.878435915404005], [2.3691240727909526, 48.878399246021594], [2.369113830237661, 48.87837290277457], [2.3691052934734156, 48.878349369934476], [2.369067769673311, 48.87830223874168], [2.3690268406935053, 48.878261571972274], [2.3690021199018623, 48.87824823048735], [2.3689774034691577, 48.8782412823715], [2.3689433128015907, 48.87823300148893]]], ""type"": ""Polygon""}";48.87839098566165, 2.368965958030627
13;57;13-57;127.12718415154332;47.69056999483983;"{""coordinates"": [[[2.3498872654946394, 48.826488847066955], [2.3498353344755953, 48.8264686903448], [2.3498191587494524, 48.826462158375435], [2.3497425390888855, 48.8264323789694], [2.3496250766361575, 48.82647131364901], [2.3497868353921114, 48.82655398606574], [2.349791092089362, 48.82655595276017], [2.3498532205633156, 48.82650803094067], [2.3498872654946394, 48.826488847066955]]], ""type"": ""Polygon""}";48.82648898746683, 2.3497603194520806
14;46;14-46;36.34213506143364;39.90257848210131;"{""coordinates"": [[[2.3374877510060514, 48.8336953850119], [2.337643178288221, 48.83366086907728], [2.3376342268708346, 48.83364121141805], [2.337404551682164, 48.833697007976994], [2.337412324969821, 48.83371213529009], [2.3374877510060514, 48.8336953850119]]], ""type"": ""Polygon""}";48.833676691867986, 2.3375283353073724
14;46;14-46;24.16627599046511;24.00438395179837;"{""coordinates"": [[[2.33710089305552, 48.83379372107514], [2.337222829140656, 48.8337672475091], [2.3372113494370828, 48.83374394145099], [2.3370903844954545, 48.83377332715519], [2.33710089305552, 48.83379372107514]]], ""type"": ""Polygon""}";48.83376925330465, 2.3371576624113053
14;124;14-124;145.57769513910753;62.68593376413796;"{""coordinates"": [[[2.3291912903467566, 48.834598259006256], [2.329132555093252, 48.83452891274156], [2.329101053387287, 48.834537903339175], [2.3290967965951617, 48.83453193102134], [2.329083173326254, 48.83453719956838], [2.3290303973291255, 48.83447790027474], [2.3290133699902813, 48.83447466684876], [2.3289094956065437, 48.83451224710193], [2.3289111973358536, 48.83451498714079], [2.3289443947690356, 48.83455714345284], [2.3289486501988628, 48.83456332622129], [2.3289614216284984, 48.83455925177221], [2.328966529928869, 48.834557706531626], [2.3289699351522075, 48.83456220360468], [2.329021872962944, 48.83454141101746], [2.3291001862689606, 48.8346299383178], [2.3291912903467566, 48.834598259006256]]], ""type"": ""Polygon""}";48.834548773928745, 2.3290536716867623
14;102;14-102;776.3476032918471;280.77689058373596;"{""coordinates"": [[[2.33069843595874, 48.83121693818335], [2.331679511570798, 48.830904139635], [2.3316981656971514, 48.83092927164693], [2.3318174503783258, 48.83088924416045], [2.3317625008321445, 48.83082314166099], [2.3317252185609854, 48.830778292025094], [2.331704762311053, 48.830753683272704], [2.3316018182264204, 48.83078626791762], [2.331661476980977, 48.830873825291924], [2.3316260806546967, 48.8308852473979], [2.3315042958954857, 48.83092454571826], [2.331484769507436, 48.83093079065141], [2.3314169622184933, 48.83084161823326], [2.33135304722695, 48.83086236293043], [2.3313287418282003, 48.8308286911892], [2.3313066393421096, 48.83083653516775], [2.331258770833783, 48.83085352830516], [2.3312238422629172, 48.83086596740199], [2.33124674674991, 48.83089638279196], [2.331266033452203, 48.830921991480345], [2.331284957361179, 48.8309159887432], [2.3313017102755897, 48.830911331019884], [2.3313481845706474, 48.830974468777384], [2.3313318466676245, 48.830979693634035], [2.3312113253309654, 48.831017954545864], [2.3311347029260325, 48.83104240723455], [2.3310131298204597, 48.831080653070394], [2.3309934455806234, 48.83108698158131], [2.330913358755092, 48.83097600053339], [2.3308828994957262, 48.83098675032653], [2.3308713074924077, 48.83096906494062], [2.330870552643794, 48.830967909518876], [2.3308118479491062, 48.83098875952345], [2.3307921155120583, 48.830995765859875], [2.3307805297453066, 48.83099988132219], [2.330765760462818, 48.83100526237629], [2.3308618058985062, 48.831129304475], [2.330842006714841, 48.83113567009152], [2.330716928872312, 48.8311749132083], [2.330676464481233, 48.83118760896469], [2.330682269388091, 48.831195439020696], [2.33068245507043, 48.83119551290909], [2.33069843595874, 48.83121693818335]]], ""type"": ""Polygon""}";48.83097315821556, 2.331259711724107
8;2;08-févr;2548.003014801646;222.55018687515607;"{""coordinates"": [[[2.307481638101097, 48.873582519788435], [2.30759585247549, 48.87351454094486], [2.307629932372723, 48.873518272484525], [2.3076427083490247, 48.873527830839336], [2.307774822321713, 48.87345030181904], [2.307796113736162, 48.87346562291985], [2.307808038428407, 48.873474196951435], [2.308117433869683, 48.87330025068637], [2.308075701670331, 48.873269819456986], [2.307984570314823, 48.87320368565196], [2.3078755555513513, 48.8731243395606], [2.3077478017865993, 48.87303185082758], [2.307446921997802, 48.87321422911269], [2.3070471656394314, 48.8734571418506], [2.3071664003709107, 48.87354464100561], [2.3073231100851674, 48.87365772282489], [2.307361435821258, 48.873686046324586], [2.3074952539403326, 48.873611046535984], [2.3074841811299764, 48.87360443976612], [2.307481638101097, 48.873582519788435]]], ""type"": ""Polygon""}";48.87335787195726, 2.30758011823211
