ZONAGE;N_SQ_PPRIZONE;ST_AREA_SHAPE;ST_PERIMETER_SHAPE;GEO_SHAPE;GEO_POINT_2D
B;95;2180.535494542301;221.4788648998064;"{""coordinates"": [[[2.331415753707188, 48.874422829144436], [2.331435334630349, 48.87456411488277], [2.331466008462713, 48.87458175045051], [2.331528208603386, 48.87458013725486], [2.3316594281409793, 48.87457662957519], [2.3318162100423945, 48.87457249101065], [2.331978955885334, 48.87456821195087], [2.3321970875093454, 48.87456231888026], [2.33233427137393, 48.87455874121003], [2.332507242173115, 48.87455418031146], [2.332546445025159, 48.87446165462529], [2.3326043981463798, 48.87432543027415], [2.3321937029302795, 48.874317898446435], [2.3319287107330133, 48.874313181295776], [2.331645823962253, 48.87430804078471], [2.331646671155774, 48.8743518810825], [2.3316483738268894, 48.87437134148624], [2.331614291565697, 48.874371129604064], [2.331516302686018, 48.874370493395226], [2.3315188548053825, 48.8744173532996], [2.331415753707188, 48.874422829144436]]], ""type"": ""Polygon""}";48.874445482331055, 2.3320051790701455
B;111;914.1355752390406;121.46702162550554;"{""coordinates"": [[[2.3162463822020545, 48.874396282264435], [2.3162523554506427, 48.87437611990144], [2.3162557684259255, 48.87436445876592], [2.3162608874679314, 48.87434808943644], [2.316268569638266, 48.87431759981652], [2.3162813697378213, 48.8742692659395], [2.3162864905539102, 48.87425057901785], [2.3163300142287055, 48.874086680005675], [2.3161451290660775, 48.874054961804696], [2.3159781371128285, 48.87402626752177], [2.315950866288328, 48.87403947048844], [2.315933737475979, 48.874243701843575], [2.315926882045015, 48.87433538458346], [2.3162463822020545, 48.874396282264435]]], ""type"": ""Polygon""}";48.87420638644709, 2.316115677814365
B;115;10319.666656024332;406.2849299631427;"{""coordinates"": [[[2.3314047155369533, 48.874070214090274], [2.331427722346302, 48.874070777870806], [2.3315418979510336, 48.874073452515816], [2.3315384715426744, 48.87423855379618], [2.3317242211245786, 48.874240317596154], [2.3319432025430302, 48.87423779686242], [2.332081236278087, 48.87424581220859], [2.3320812397845305, 48.87420864615473], [2.3322772149026876, 48.87421188530924], [2.3326257096393026, 48.87421751783302], [2.3326589412964642, 48.87420164181153], [2.332705813396461, 48.8740966103277], [2.3327041102634363, 48.87408375377865], [2.332673437413271, 48.87406773463826], [2.332849848027364, 48.873669318829776], [2.332897563603938, 48.873665807533506], [2.3329682978922994, 48.873501481445516], [2.3324809355594804, 48.8733625696109], [2.3320097631190486, 48.87324810561979], [2.3314056512665378, 48.87333084194201], [2.3313161771840356, 48.8734076277932], [2.3314030128550556, 48.874058621993676], [2.3314047155369533, 48.874070214090274]]], ""type"": ""Polygon""}";48.87374883036804, 2.3320721254926404
B;137;6059.993434821916;343.750245599143;"{""coordinates"": [[[2.34683461238093, 48.873514832520755], [2.346621600625973, 48.87352609347112], [2.346008974248721, 48.87352614567142], [2.345567602286003, 48.87347566831205], [2.3452634079332237, 48.87341274283064], [2.34529495611097, 48.87354552368878], [2.3453120091420936, 48.87361570776595], [2.3453418524831564, 48.87373879429201], [2.3453589057792534, 48.873810594461055], [2.345370842279752, 48.87386005317066], [2.3453810736936487, 48.87390101190453], [2.345403243435328, 48.87399248336981], [2.345547241661531, 48.87399205033341], [2.345893177473398, 48.87399089780186], [2.3461513520984507, 48.8739901741614], [2.3463558465136876, 48.87398952378392], [2.3464103792395483, 48.87398930892623], [2.346614873648253, 48.87398865810627], [2.346875604124415, 48.87398786231686], [2.346902866335389, 48.873968187863106], [2.346882389630305, 48.87383119066144], [2.3468550881207113, 48.873652321703716], [2.3468397301906108, 48.873544972078484], [2.34683461238093, 48.873514832520755]]], ""type"": ""Polygon""}";48.873744226949206, 2.346080135934211
B;61;4456.013423892784;356.84973168568206;"{""coordinates"": [[[2.3352935024702606, 48.87488479636083], [2.3352790118961284, 48.875033949321136], [2.3352645222982322, 48.875170947716704], [2.335325020149483, 48.87516954343065], [2.335414488718847, 48.87516743659302], [2.3355925737327055, 48.87516343382868], [2.3355942784973664, 48.87514608067775], [2.335840530423315, 48.87514046204072], [2.336049290711228, 48.87513561523395], [2.3360492899234613, 48.87515535658981], [2.3361813623147367, 48.87515198447917], [2.3363415541808124, 48.875148050450775], [2.3363381463174084, 48.87510273551905], [2.336476182686403, 48.87509985571004], [2.3369601652037244, 48.87508973714411], [2.3370368517495463, 48.8750386613107], [2.3370385556802216, 48.875000019914005], [2.33704111205531, 48.87496510289766], [2.3370453727805014, 48.87478932305191], [2.336552872536693, 48.87480098656976], [2.336313439578841, 48.874807872067564], [2.3363287772327785, 48.874774008896956], [2.33628020960038, 48.874765578126706], [2.336109794645537, 48.87473592985102], [2.335923192330641, 48.87469749852982], [2.33591466965637, 48.8747386688084], [2.335895070649077, 48.874838221110224], [2.335880583101762, 48.87490910928457], [2.335797931934262, 48.87490566670985], [2.3357689614912203, 48.874904541870066], [2.3356956820429127, 48.87490145070626], [2.3356241078116735, 48.87489849936563], [2.3355065221797267, 48.874893650387975], [2.33541705350286, 48.87488992598478], [2.3352935024702606, 48.87488479636083]]], ""type"": ""Polygon""}";48.87496839524624, 2.336173587770697
B;141;26109.73072863076;973.896387643329;"{""coordinates"": [[[2.3484604273830594, 48.87393670016231], [2.3485013245166533, 48.87393367524872], [2.3486206117130957, 48.87392502077663], [2.3489512047895644, 48.87390095793167], [2.3490943484986535, 48.87389054412908], [2.349325253200906, 48.87387379744965], [2.349741902349964, 48.87384339938075], [2.34987737698611, 48.87383361838479], [2.3500077394751075, 48.87382411794945], [2.3504090503509283, 48.87379498417846], [2.3504329027595356, 48.873773552901355], [2.350395373710428, 48.87363269466734], [2.3503621117972555, 48.87351045336586], [2.3503382298250597, 48.873422004300544], [2.3503177605749026, 48.87334655208849], [2.350053627633851, 48.8733542410996], [2.349945417742652, 48.87336029601231], [2.349874699693821, 48.87336445000819], [2.3497929035611964, 48.87336909598152], [2.3496949195900645, 48.873374657617475], [2.3494887260870163, 48.8733863438239], [2.3492842357393036, 48.87339788874476], [2.3491768791366905, 48.87340394310536], [2.3491615455943404, 48.87341701255089], [2.3491410991183117, 48.87342944983886], [2.349125763674631, 48.873435142001476], [2.3490618599326294, 48.873437959281226], [2.349036296727287, 48.8734308665866], [2.34901925388131, 48.87342208630007], [2.3487142210528806, 48.87343104192561], [2.3484185638605646, 48.87344807529917], [2.3484202715708653, 48.873462617894155], [2.3483512549744874, 48.873466208273776], [2.348282240972562, 48.873470571159], [2.348280532814902, 48.87345595841112], [2.3481646556434534, 48.87346271462279], [2.348163799659666, 48.87344493994491], [2.3481586797852816, 48.87341065628492], [2.3481629365246994, 48.87339843138221], [2.3482711457310574, 48.87339223777902], [2.348270291058594, 48.873377624280806], [2.3483376016887605, 48.87337340231905], [2.348407468915893, 48.873369811181966], [2.3484100282397917, 48.87338428376885], [2.348999638951885, 48.87335042740872], [2.3490132686001366, 48.873337006968185], [2.349031159876073, 48.87332611615648], [2.3490550144766416, 48.87331817432383], [2.34907461115057, 48.873315151193985], [2.349098468497027, 48.87331451648785], [2.349122326923852, 48.873318377572886], [2.3491436307961076, 48.8733262439042], [2.3491649345319368, 48.87334099556153], [2.3492765522311614, 48.873334449055605], [2.3494818928865993, 48.87332248248344], [2.3498653100111135, 48.87330023665512], [2.3499914107116364, 48.87329291557145], [2.3500459422260027, 48.873289677279836], [2.350297291885971, 48.873275103722385], [2.3502742645800643, 48.87319269651821], [2.350217122339606, 48.872984465702814], [2.350183008381521, 48.87286152176365], [2.350149746771255, 48.872742722980846], [2.3501190433410386, 48.87262968483621], [2.350084077358968, 48.872504915040636], [2.3500499645168897, 48.87238204116119], [2.3500004996465957, 48.8722035272461], [2.3499689695238577, 48.87218737207804], [2.3496528787673916, 48.872236658417094], [2.3494722549242355, 48.87226506281337], [2.3492899280730026, 48.87229346667298], [2.349070963725141, 48.87232777573632], [2.3489073789041766, 48.87235329692627], [2.3487369786296113, 48.87238001200624], [2.348564874951621, 48.872406868662516], [2.348431962501186, 48.872427678113105], [2.3483016055522588, 48.87244799590129], [2.347992327158532, 48.87249650374677], [2.347988087261324, 48.87258678324219], [2.3479881102005997, 48.872692447550925], [2.3479881258978055, 48.87276242246421], [2.347988149484707, 48.872868579597046], [2.3479881727831295, 48.872977264758006], [2.3479881795612547, 48.8730053673165], [2.3479882037731916, 48.87311517754095], [2.3479882499531635, 48.87332615530699], [2.347994250202331, 48.87348668922927], [2.348422905392363, 48.873804412926994], [2.3484604273830594, 48.87393670016231]]], ""type"": ""Polygon""}";48.87309316820097, 2.3491658640198234
B;8;4294.761829903771;414.9943207713791;"{""coordinates"": [[[2.3351656216058774, 48.87679167920395], [2.3336301344675343, 48.87657287502834], [2.333093312342636, 48.87652234663686], [2.332569271744003, 48.87648228432672], [2.332521542780983, 48.876594621474496], [2.332494270508375, 48.87665848329767], [2.3325113103638278, 48.876683003397176], [2.3328359543125226, 48.87678081012495], [2.3330924379572555, 48.87679571223551], [2.3334043092224164, 48.876813846871585], [2.333567913791641, 48.87682333564821], [2.3337323696846988, 48.876832894590585], [2.3340842898635055, 48.87685341684561], [2.3342180709104747, 48.87686114790225], [2.334364634604844, 48.876861080692755], [2.3348273321248363, 48.876826873312744], [2.3351656216058774, 48.87679167920395]]], ""type"": ""Polygon""}";48.876698008550264, 2.3335865658369483
B;9;103.93771111446068;59.06838783700213;"{""coordinates"": [[[2.337547266785772, 48.876829057497645], [2.3374305281939014, 48.87681311012833], [2.337220056203985, 48.876784377677055], [2.3371868247112233, 48.87680011463344], [2.337201310105515, 48.87685357942899], [2.337547266785772, 48.876829057497645]]], ""type"": ""Polygon""}";48.876821578191766, 2.3373134348106075
B;153;1556.8478817021282;158.62621332336113;"{""coordinates"": [[[2.3138899858735096, 48.873482234508224], [2.3139317325407625, 48.87348947875305], [2.314209479180503, 48.87353976604747], [2.314249523704992, 48.87354427002936], [2.3142682671138406, 48.87354750621271], [2.314296383854375, 48.873552288993814], [2.314321950968982, 48.873539577571066], [2.3143500748881687, 48.87352672610145], [2.314356900009921, 48.87350642299976], [2.3144755053336232, 48.87313022617091], [2.3143954174709513, 48.87312065625652], [2.3143613372623433, 48.87311734753289], [2.3140460967373517, 48.87308201759496], [2.3140000306148756, 48.87320017887798], [2.3139659062270597, 48.873292347461415], [2.3139411661355234, 48.873357891755546], [2.3138899858735096, 48.873482234508224]]], ""type"": ""Polygon""}";48.873315603350015, 2.314189174931377
B;158;2479.4704222867767;201.9888202176118;"{""coordinates"": [[[2.3478161672724664, 48.873469845785415], [2.347816155302837, 48.873412657722625], [2.347815274144578, 48.87327832870098], [2.3478143904579394, 48.87313353135319], [2.34778456497257, 48.873114846078664], [2.3475212835061177, 48.87311796370208], [2.3473662108863134, 48.873119664345694], [2.3473006044493596, 48.87312325382521], [2.347276747425884, 48.87312452040932], [2.3472545937241334, 48.87312248491377], [2.3471992119541, 48.87312916446067], [2.347050103244674, 48.87312896813899], [2.3469938703384807, 48.87314154890234], [2.3469597887779527, 48.873143519585945], [2.34695298306199, 48.873192980232616], [2.346959808203708, 48.873237662412876], [2.346966633445435, 48.87328255503652], [2.346973458303275, 48.87332758795254], [2.3469794323318176, 48.8733724111756], [2.346986257124221, 48.87341723364165], [2.3469930828077707, 48.873461985961924], [2.3469999089869624, 48.873506808431], [2.3477335166805338, 48.87346310997266], [2.3478161672724664, 48.873469845785415]]], ""type"": ""Polygon""}";48.87330174776919, 2.347389187183091
